behavior,Qp1,Qp2,evidence,arbitration,subject
1,-0.034017,-0.15074,0.051444,-0.14072,1
1,0.0072073,-0.18509,-0.69362,-0.21202,1
1,0.058908,-0.24116,-0.32461,-0.28289,1
1,0.1081,-0.292,-0.41423,-0.35318,1
1,0.15716,-0.2321,-0.085591,-0.15916,1
1,0.19106,-0.22659,-1.4386,-0.10401,1
1,0.22177,-0.20865,-0.87049,-0.05126,1
0,0.21007,-0.15848,1.0185,-0.04874,1
0,0.19059,-0.20897,0.72748,-0.22663,1
0,0.13001,-0.16633,-1.1495,-0.18614,1
1,0.088355,-0.18015,-1.4433,-0.30567,1
0,0.03508,-0.21875,-1.0097,-0.42563,1
0,-0.011022,-0.26892,-0.31815,-0.54539,1
0,-0.0050691,-0.314,1.0601,-0.47885,1
0,0.03193,-0.24724,0.62797,-0.3904,1
0,0.058716,-0.18977,0.69299,-0.30588,1
1,0.05013,-0.22686,0.67264,-0.34827,1
0,0.049859,-0.26676,1.0957,-0.19757,1
0,0.02995,-0.24399,-0.27877,0.021363,1
0,-0.00099494,-0.27086,-0.56102,-0.029244,1
0,-0.0068606,-0.30331,0.61268,-0.024701,1
0,-0.021818,-0.33491,0.22911,-0.073504,1
1,-0.019049,-0.38078,1.2118,0.051816,1
1,-0.052177,-0.37263,-1.3142,0.055429,1
0,-0.083281,-0.39362,-0.77735,-0.10032,1
1,-0.10317,-0.41657,-0.27145,-0.12517,1
1,-0.13641,-0.38484,-0.47681,0.1703,1
1,-0.16762,-0.31874,0.82938,0.42285,1
0,-0.15178,-0.25815,1.2303,0.53438,1
1,-0.11325,-0.2859,-0.82411,0.60231,1
1,-0.089598,-0.32048,-0.002704,0.66491,1
1,-0.065407,-0.31139,-0.9336,0.60519,1
1,-0.016427,-0.31764,-1.9982,0.65144,1
0,0.025493,-0.30485,-1.4904,0.66524,1
0,0.044357,-0.30875,-0.91188,0.50257,1
0,0.077751,-0.2874,-0.85315,0.49186,1
0,0.067511,-0.24397,0.83459,0.39531,1
0,0.082964,-0.19413,0.86083,0.38439,1
0,0.093389,-0.16572,0.29118,0.37368,1
1,0.13821,-0.18333,-1.431,0.46434,1
1,0.17261,-0.20424,-0.90801,0.39397,1
0,-0.10046,-0.011562,-1.9794,-1.0891,1
1,-0.11297,-0.014341,-0.70482,-1.0471,1
1,-0.10781,-0.0019567,-0.076347,-1.055,1
0,-0.083142,-0.011274,-0.94385,-1.0658,1
1,-0.071833,0.017377,0.26542,-1.0886,1
1,-0.059664,-0.015082,0.36797,-1.0735,1
0,-0.021235,-0.06178,-0.14387,-1.0588,1
1,0.016188,-0.0041413,0.28585,-0.99727,1
0,0.06881,0.026838,-1.2565,-0.93748,1
0,0.10041,-0.024731,0.29545,-0.80736,1
1,0.12771,-0.058601,-0.16959,-0.68198,1
1,0.14505,-0.03877,-0.28391,-0.53486,1
1,0.1423,-0.014429,0.44379,-0.46273,1
0,0.13499,0.00047221,-0.07004,-0.43898,1
1,0.11516,-0.012681,-0.61888,-0.41223,1
1,0.079672,0.014749,-0.71753,-0.37302,1
1,0.034713,0.067868,-0.16829,-0.33518,1
1,-0.010224,0.11457,-0.39671,-0.29865,1
1,-0.052828,0.16758,-0.080367,-0.26341,1
1,-0.081604,0.21293,0.18279,-0.2294,1
0,-0.10963,0.26337,0.39416,-0.19659,1
0,-0.15887,0.2974,-1.0163,-0.16495,1
1,-0.2103,0.24126,-0.31154,0.15628,1
0,-0.24188,0.28468,0.0047429,0.23339,1
0,-0.28651,0.31186,-1.0813,0.30563,1
0,-0.29761,0.28678,0.14615,0.60457,1
0,-0.31419,0.30637,-0.26326,0.52065,1
1,-0.34883,0.30281,-1.5369,0.48913,1
